lunchbox;eten
lobbying;uitoefenen van invloed
malvezij;drank
jazzclub;culturele plaats
ijslolly;koude lekkernij
hobbykok;thuiskok
maquette;model
juryteam;Panel
leukocyt;afweersysteem
jerrycan;container
kerfbijl;werktuig
luxaflex;jaloezieën
mycelium;hyfen
golfclub;sport instrument
huilbaby;nachtmerrie
katzwijm;flauwte
juffrouw;algemeen eerste liefde
playoffs;eindronde
babymelk;natuurlijk
crucifix;christendom
joystick;bewegings controller
hectisch;chaos
koplicht;Navigatiedeel van schepen
meetlint;meter voor omtrek
quoteren;evenredig verdelen
